ベース,カクテル名,材料１,材料２,材料３,材料４,材料５,材料６,材料７,材料８,材料９,材料１０
ブランデー,アレキサンダー,ブランデー　1/2,カカオリキュール　1/4,生クリーム　1/4,,,,,,,
ブランデー,ビトウィーン・ザ・シーツ,ブランデー　1/3,ホワイトラム　1/3,ホワイトキュラソー　1/3,レモンジュース　1tsp,,,,,,
ブランデー,カフェ・ロワイヤル,ブランデー　1tsp,角砂糖　1個,ホットコーヒー　適量,,,,,,,
ブランデー,トム・アンド・ジェリー,ブランデー　15ml,ホワイトラム　30ml,砂糖　2tsp,卵　1個,熱湯　適量,,,,,
マリブ,マリブ・マンゴー,マリブ　30ml,マンゴージュース　適量,,,,,,,,
マリブ,マリブ・ミルク,マリブ　30ml,牛乳　適量,,,,,,,,
マリブ,マリブ・コーラ,マリブ　30ml,コーラ　適量,,,,,,,,
マリブ,ピニャ・コラーダ,マリブ　45ml,パイナップルジュース　45ml,牛乳　45ml,,,,,,,
マリブ,マリブ・パイン,マリブ　30ml,パイナップルジュース　適量,タンブラー、バースプーン　1個,,,,,,,
マリブ,マリブ・グレープフルーツ,マリブ　30ml,グレープフルーツジュース　適量,,,,,,,,
マリブ,マリブ・ビーチ (1),マリブ　2/5,ウオッカ　1/5,オレンジジュース　2/5,グレナデンシロップ　1ダッシュ,卵白　1ダッシュ,レッドチェリー　1個,,,,
マリブ,マリブ・オレンジ,マリブ　30ml,オレンジジュース　適量,,,,,,,,
マリブ,カシス・コラーダ,マリブ　45ml,クレーム ド カシス　10ml,パイナップルジュース　45ml,牛乳　45ml,,,,,,
マリブ,マリブ・ビーチ (2),マリブ　1/3,ホワイトラム　1/3,ライムジュース　1/6,ブルーキュラソー　1/6,ジンジャエール　適量,,,,,
マリブ,ストロベリー・コラーダ,マリブ　45ml,パイナップルジュース　45ml,牛乳　45ml,カットパイナップル、レッド・チェリー　各1個,,,,,,
ラム,ホット・バタード・ラム,ゴールドラム　45ml,角砂糖　1個,バター（角砂糖大）　1片,熱湯　適量,,,,,,
ラム,シャンハイ,ダークラム　1/2,レモンジュース　1/3,アニゼット　1/6,グレナデンシロップ　1/2tsp,,,,,,
ラム,スカイ・ダイビング,ホワイトラム　1/2,ブルーキュラソー　1/3,ライムジュース　1/6,,,,,,,
ラム,ダイキリ,ホワイトラム　3/4,レモンジュース（またはライムジュース）　1/4,砂糖　1tsp,,,,,,,
ラム,マイアミ,ホワイトラム　2/3,ホワイトキュラソー　1/3,レモンジュース　1tsp,,,,,,,
ラム,ホット・バタード・ラム,ゴールドラム　45ml,角砂糖　1個,バター（角砂糖大）　1片,熱湯　適量,,,,,,
ラム,ロング・アイランド・アイスド・ティー,ホワイトラム　15ml,ウォッカ　15ml,ジン　15ml,テキーラ　15ml,ホワイトキュラソー　10ml,レモンジュース　30ml,ガムシロップ　1tsp,コーラ　40ml,レモンスライス　1枚,
ラム,ブルー・ハワイ,ホワイトラム　30ml,ブルーキュラソー　15ml,パイナップルジュース　30ml,レモンジュース　15ml,カットパイナップル　1個,レッドチェリー　1個,,,,
